T,C,S,N,D,OBJ,CTX,time,userAgent,
801.50,190.20,381.80,229.50,2982.85,2893.85,89.00,2012-3-16 21:33:56,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
1058.70,235.10,384.10,439.50,2982.85,2893.85,89.00,2012-3-16 21:34:15,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
961.10,189.10,386.50,385.50,2982.85,2893.85,89.00,2012-3-16 21:35:22,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
862.10,190.30,391.80,280.00,2982.85,2893.85,89.00,2012-3-16 21:36:56,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
936.30,224.50,410.00,301.80,2982.85,2893.85,89.00,2012-3-16 21:37:27,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
713.20,152.30,350.40,210.50,2982.85,2893.85,89.00,2012-3-16 21:39:39,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
727.00,166.40,348.20,212.40,2982.85,2893.85,89.00,2012-3-16 21:39:56,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
667.00,161.30,343.40,162.30,2982.85,2893.85,89.00,2012-3-16 21:40:32,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
800.30,183.20,326.30,290.80,2982.85,2893.85,89.00,2012-3-16 21:40:52,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
1419.10,192.10,345.70,881.30,2982.85,2893.85,89.00,2012-3-16 21:41:15,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
923.40,193.90,351.10,378.40,2982.85,2893.85,89.00,2012-3-16 21:41:31,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
918.20,157.60,355.20,405.40,2982.85,2893.85,89.00,2012-3-16 21:41:49,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
921.90,193.30,379.80,348.80,2982.85,2893.85,89.00,2012-3-16 21:42:07,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
901.30,208.30,388.50,304.50,2982.85,2893.85,89.00,2012-3-16 21:42:58,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
870.60,185.40,371.10,314.10,2982.85,2893.85,89.00,2012-3-16 21:43:24,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
849.50,184.80,379.70,285.00,2982.85,2893.85,89.00,2012-3-16 21:43:45,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
851.40,218.40,376.60,256.40,2982.85,2893.85,89.00,2012-3-16 21:44:01,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
876.00,172.70,380.10,323.20,2982.85,2893.85,89.00,2012-3-16 21:44:18,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
859.70,191.00,379.60,289.10,2982.85,2893.85,89.00,2012-3-16 21:44:34,Mozilla/5.0 (Linux- U- Android 2.3- en-us- Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML- like Gecko) Version/4.0 Mobile Safari/533.1,
